city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,
Aberdeen North (Bridge of Don),831,419,50.4,9,793,352,44.4,3,"1,625",771,47.4,12,,
Aberdeen South (Cove),940,526,56.0,33,900,490,54.4,13,"1,840","1,016",55.2,46,,
Abergavenny,986,616,62.5,21,"1,020",547,53.6,8,"2,006","1,163",58.0,29,,
Aberystwyth,255,136,53.3,1,262,118,45.0,3,517,254,49.1,4,,
Airdrie,883,366,41.4,0,834,304,36.5,1,"1,717",670,39.0,1,,
Alness,214,130,60.7,0,247,115,46.6,0,461,245,53.1,0,,
Alnwick,212,107,50.5,0,231,88,38.1,0,443,195,44.0,0,,
Arbroath,220,151,68.6,16,189,107,56.6,12,409,258,63.1,28,,
Ashfield,337,177,52.5,0,371,189,50.9,2,708,365,51.6,2,,
Ashford (Kent),784,414,52.8,3,790,387,49.0,2,"1,574",801,50.9,5,,
Ashford (Middlesex),"1,665",849,51.0,14,"1,719",817,47.5,10,"3,384","1,666",49.2,24,,
Atherton,"1,437",772,53.7,12,"1,254",541,43.1,8,"2,692","1,313",48.8,20,,
Aylesbury,981,491,50.1,2,918,444,48.4,4,"1,900",936,49.3,6,,
Bala,153,75,49.0,2,151,58,38.4,1,304,133,43.8,3,,
Ballachulish,16,8,50.0,0,14,7,50.0,0,30,15,50.0,0,,
Ballater,41,28,68.3,2,47,24,51.1,0,88,52,59.1,2,,
Banbury,"1,161",593,51.1,10,"1,205",614,51.0,9,"2,366","1,206",51.0,19,,
Banff,96,51,53.1,0,94,56,59.6,0,190,107,56.3,0,,
Bangor,874,422,48.3,1,929,409,44.0,1,"1,803",831,46.1,2,,
Barking,"1,607",514,32.0,1,"1,451",362,24.9,0,"3,058",875,28.6,1,,
Barnet,"2,508",828,33.0,2,"1,775",556,31.3,1,"4,283","1,384",32.3,3,,
Barnsley,"1,100",391,35.5,0,"1,106",321,29.0,0,"2,206",712,32.3,0,,
Barnstaple,711,398,56.0,2,702,308,43.9,4,"1,413",706,50.0,6,,
Barrow In Furness,528,293,55.5,6,505,265,52.5,4,"1,033",558,54.0,10,,
Basildon,"2,022",771,38.1,0,"1,893",598,31.6,1,"3,915","1,369",35.0,1,,
Basingstoke,"1,123",527,46.9,0,"1,014",410,40.4,0,"2,137",937,43.8,0,,
Bathgate,"1,066",569,53.4,18,"1,092",491,45.0,9,"2,159","1,059",49.1,27,,
Bedford,"1,415",710,50.2,3,"1,422",569,40.0,4,"2,837","1,279",45.1,7,,
