city,male_1_attempt,male_1_attempt_passes,male_pass_rate,male_zero_fault,female_1_attempt,female_1_attempt_passes,female_pass_rate,female_zero_fault,total_1_attempt,total_1_attempt_passes,total_pass_rate,total_zero_fault,,,,,,,,,,,,,,,,,,,,
Aberdeen North,1006,447,44.4,29,929,397,42.7,21,1935,844,43.6,50,,,,,,,,,,,,,,,,,,,,
Aberdeen South (Cove),1315,699,53.2,51,1099,556,50.6,42,2414,1255,52.0,93,,,,,,,,,,,,,,,,,,,,
Aberfeldy,46,23,50.0,0,35,17,48.6,0,81,40,49.4,0,,,,,,,,,,,,,,,,,,,,
Abergavenny,1585,1006,63.5,108,1420,819,57.7,70,3005,1825,60.7,178,,,,,,,,,,,,,,,,,,,,
Aberystwyth (Park Avenue),391,218,55.8,10,291,156,53.6,2,682,374,54.8,12,,,,,,,,,,,,,,,,,,,,
Airdrie,1649,723,43.8,25,1248,579,46.4,22,2897,1302,44.9,47,,,,,,,,,,,,,,,,,,,,
Alness,232,154,66.4,12,260,147,56.5,17,492,301,61.2,29,,,,,,,,,,,,,,,,,,,,
Alnwick,335,191,57.0,10,263,170,64.6,12,598,361,60.4,22,,,,,,,,,,,,,,,,,,,,
Arbroath,192,142,74.0,35,239,153,64.0,29,431,295,68.4,64,,,,,,,,,,,,,,,,,,,,
Ashfield,2960,1593,53.8,102,2493,1234,49.5,79,5453,2827,51.8,181,,,,,,,,,,,,,,,,,,,,
Ashford (Kent),1368,679,49.6,36,1074,540,50.3,39,2442,1219,49.9,75,,,,,,,,,,,,,,,,,,,,
Atherton (Manchester),1609,737,45.8,20,1380,626,45.4,12,2989,1363,45.6,32,,,,,,,,,,,,,,,,,,,,
Aylesbury,1568,722,46.0,11,1305,534,40.9,7,2873,1256,43.7,18,,,,,,,,,,,,,,,,,,,,
Ayr,621,318,51.2,1,642,366,57.0,5,1263,684,54.2,6,,,,,,,,,,,,,,,,,,,,
Bala,117,71,60.7,2,127,70,55.1,2,244,141,57.8,4,,,,,,,,,,,,,,,,,,,,
Ballater,38,26,68.4,2,39,27,69.2,2,77,53,68.8,4,,,,,,,,,,,,,,,,,,,,
Banbury,1497,585,39.1,32,1368,558,40.8,35,2865,1143,39.9,67,,,,,,,,,,,,,,,,,,,,
Banff,51,27,52.9,2,64,30,46.9,1,115,57,49.6,3,,,,,,,,,,,,,,,,,,,,
Bangor,772,406,52.6,8,819,458,55.9,20,1591,864,54.3,28,,,,,,,,,,,,,,,,,,,,
Barking (Tanner Street),1712,621,36.3,11,928,327,35.2,2,2640,948,35.9,13,,,,,,,,,,,,,,,,,,,,
Barnet (London),2878,1408,48.9,53,1906,896,47.0,27,4784,2304,48.2,80,,,,,,,,,,,,,,,,,,,,
Barnsley,1891,1057,55.9,49,1611,838,52.0,35,3502,1895,54.1,84,,,,,,,,,,,,,,,,,,,,
Barnstaple,1012,561,55.4,29,929,456,49.1,28,1941,1017,52.4,57,,,,,,,,,,,,,,,,,,,,
Barra,..,..,75.0,0,..,..,..,1,17,15,88.2,1,,,,,,,,,,,,,,,,,,,,
