road_user_type,sex,age_group,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,Under 16,"3,888","3,688","3,645","3,486","3,207","3,105","2,038","2,507","2,881","2,654",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,16,256,232,237,269,220,189,146,159,204,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,17 to 20,982,957,861,945,798,802,449,569,621,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,21 to 24,"1,002",874,875,843,736,727,443,494,566,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,25 to 29,"1,073","1,052",970,"1,000",888,865,575,608,695,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,30 to 39,"1,684","1,611","1,616","1,837","1,655","1,613","1,155","1,295","1,465","1,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,40 to 49,"1,462","1,408","1,395","1,442","1,378","1,285",989,"1,073","1,119","1,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,50 to 59,"1,172","1,173","1,255","1,252","1,199","1,240",873,910,"1,047","1,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,60 to 69,836,866,889,834,894,813,598,622,827,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,70 to 79,660,646,723,684,682,689,470,465,573,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,80 and over,558,514,538,507,484,470,298,322,382,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,All ages,"13,898","13,333","13,258","13,297","12,356","12,035","8,187","9,196","10,609","10,414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,Under 16,"2,593","2,628","2,352","2,352","2,215","2,086","1,443","1,783","2,013","1,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,16,260,235,208,242,202,194,130,154,155,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,17 to 20,813,808,792,814,703,710,431,471,585,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,21 to 24,736,739,660,680,640,579,377,455,502,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,25 to 29,868,852,796,819,759,705,432,529,600,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,30 to 39,"1,260","1,191","1,246","1,261","1,300","1,259",898,958,"1,056","1,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,40 to 49,"1,066","1,107","1,029","1,056",966,994,693,747,872,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,50 to 59,982,988,"1,006","1,035","1,013","1,037",674,751,912,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,60 to 69,782,770,800,845,835,750,594,584,719,743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
