road_user_type,sex,age_group,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,Under 16,"1,179","1,071",999,927,963,897,616,770,857,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,16,73,55,61,83,68,61,40,58,49,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,17 to 20,285,283,238,267,244,268,142,180,194,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,21 to 24,295,275,268,223,247,225,124,171,206,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,25 to 29,311,322,281,304,283,290,187,192,235,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,30 to 39,513,483,433,535,512,540,396,394,458,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,40 to 49,444,433,414,433,475,420,335,373,393,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,50 to 59,384,416,429,400,417,445,294,309,371,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,60 to 69,316,329,327,323,345,288,236,255,326,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,70 to 79,290,267,306,293,307,304,197,184,234,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,80 and over,278,255,280,240,238,240,151,177,200,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,All ages,"4,431","4,261","4,088","4,063","4,130","4,001","2,726","3,091","3,547","3,671",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,Under 16,705,691,603,586,565,525,373,479,557,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,16,48,55,46,45,42,42,25,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,17 to 20,182,187,178,197,172,165,102,116,164,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,21 to 24,175,175,152,161,155,141,76,108,119,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
