road_user_type,sex,age_group,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,Under 16,879,787,787,777,822,785,553,714,801,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,16,53,38,48,73,59,55,35,55,46,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,17 to 20,208,209,190,232,211,245,130,166,184,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,21 to 24,209,203,214,190,220,203,111,160,195,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,25 to 29,213,234,222,270,249,265,171,180,223,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,30 to 39,371,356,336,466,446,489,366,370,430,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,40 to 49,315,315,331,377,422,379,307,349,371,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,50 to 59,274,321,348,347,363,404,272,284,348,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,60 to 69,238,241,259,285,300,257,219,239,309,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,70 to 79,217,198,253,260,268,277,180,169,220,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,80 and over,217,206,240,216,214,223,137,164,191,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,All ages,"3,232","3,160","3,265","3,526","3,605","3,603","2,489","2,877","3,341","3,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,Under 16,499,495,473,486,470,451,329,438,521,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,16,29,38,35,36,33,35,22,38,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,17 to 20,119,126,136,169,144,144,90,105,154,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,21 to 24,117,117,113,137,132,128,67,99,109,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,25 to 29,136,111,141,145,169,150,85,110,138,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,30 to 39,195,163,196,212,243,250,194,225,266,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,40 to 49,186,185,198,231,236,226,174,172,224,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,50 to 59,199,217,206,249,270,307,207,247,273,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,60 to 69,232,219,245,266,283,267,232,223,269,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,70 to 79,268,236,253,277,326,328,197,245,300,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,80 and over,274,250,246,287,282,291,146,163,258,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,All ages,"2,272","2,177","2,261","2,512","2,605","2,591","1,760","2,076","2,564","2,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,Under 16,"1,378","1,282","1,260","1,263","1,292","1,239",883,"1,154","1,323","1,254",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,16,82,76,83,109,92,90,57,93,85,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,17 to 20,327,335,326,401,355,389,220,271,338,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,21 to 24,326,320,327,327,352,331,178,259,304,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,25 to 29,349,345,363,415,418,415,256,290,361,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,30 to 39,566,519,532,678,689,740,561,595,698,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,40 to 49,501,500,529,608,658,605,481,522,595,662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,50 to 59,473,538,554,596,633,711,479,532,621,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,60 to 69,470,460,504,551,583,524,451,462,578,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,70 to 79,485,434,506,537,594,606,377,414,520,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,80 and over,491,456,486,503,496,514,283,327,449,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,All,All ages,"5,504","5,337","5,527","6,038","6,210","6,200","4,251","4,958","5,908","6,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,Under 16,242,241,276,318,301,334,295,288,245,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,16,48,42,42,45,50,49,46,51,42,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,17 to 20,149,142,165,152,169,153,160,203,185,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,21 to 24,193,167,182,193,169,176,168,188,185,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,25 to 29,272,217,248,280,268,238,263,294,285,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,30 to 39,509,505,522,575,592,524,504,563,586,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,40 to 49,691,650,591,615,612,607,603,529,519,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,50 to 59,451,479,510,517,523,547,630,626,532,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,60 to 69,208,181,213,232,257,253,329,288,285,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,70 to 79,76,83,80,117,113,115,174,150,137,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,80 and over,20,29,28,34,37,29,36,42,39,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Male,All ages,"2,892","2,762","2,887","3,111","3,122","3,062","3,239","3,254","3,076","3,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,Under 16,37,37,37,47,28,42,34,51,37,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,16,11,4,5,5,4,5,6,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,17 to 20,25,24,16,25,25,33,29,19,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,21 to 24,55,42,45,42,46,37,50,46,45,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,25 to 29,66,71,64,70,94,80,97,99,97,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,30 to 39,130,106,113,139,130,141,122,131,151,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,40 to 49,125,120,122,123,121,131,129,129,118,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,50 to 59,102,99,120,133,147,138,148,151,138,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,60 to 69,46,35,42,55,44,59,78,81,74,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,70 to 79,13,23,13,10,22,16,30,29,18,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,80 and over,5,5,1,7,5,7,3,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,Female,All ages,620,574,585,663,670,692,729,754,710,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,Under 16,279,278,313,365,329,376,329,339,282,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,16,59,46,47,50,54,54,52,56,46,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,17 to 20,174,166,181,177,194,186,189,222,204,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,21 to 24,248,209,227,235,215,213,218,235,230,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,25 to 29,338,288,312,350,362,318,360,394,384,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,30 to 39,639,611,635,714,722,666,626,697,740,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,40 to 49,816,770,713,738,733,738,732,659,637,637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,50 to 59,553,578,630,650,670,685,778,778,671,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,60 to 69,254,217,255,287,301,312,407,369,359,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,70 to 79,89,106,93,127,135,131,204,179,155,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,80 and over,25,34,29,41,42,36,39,47,43,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedal Cyclist,All,All ages,"3,512","3,337","3,473","3,774","3,792","3,756","3,969","4,015","3,799","3,728",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,Under 16,18,19,24,28,40,32,35,48,56,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,16,115,119,117,132,97,95,85,71,81,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,17 to 20,747,727,743,719,652,663,496,725,713,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,21 to 24,660,650,727,729,629,557,429,494,525,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,25 to 29,605,638,694,785,731,750,546,566,619,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,30 to 39,849,751,897,974,999,938,842,919,"1,008",933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,40 to 49,889,827,862,748,759,697,517,574,638,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,50 to 59,774,757,819,798,864,831,641,795,761,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,60 to 69,271,283,308,325,350,373,306,375,440,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,70 to 79,72,83,77,86,104,94,108,117,150,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,80 and over,9,18,6,13,9,19,13,11,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Male,All ages,"5,054","4,909","5,316","5,358","5,260","5,066","4,031","4,710","5,040","4,904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,Under 16,1,0,1,2,1,0,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,16,10,10,15,6,7,6,1,2,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,17 to 20,41,44,51,49,36,37,15,35,43,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,21 to 24,38,39,51,46,41,23,24,27,28,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,25 to 29,42,31,31,32,31,39,36,32,42,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,30 to 39,57,47,46,59,57,58,49,56,64,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,40 to 49,61,55,53,60,54,48,38,57,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,50 to 59,61,49,44,52,54,72,46,49,60,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,60 to 69,4,7,11,13,12,5,15,17,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,70 to 79,0,2,3,4,2,3,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motorcycle riders,Female,80 and over,1,0,0,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
