road_user_type,sex,age_group,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,Under 16,11,17,22,12,15,11,11,9,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,16,4,3,1,3,4,1,1,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,17 to 20,10,11,16,11,13,10,12,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,21 to 24,16,18,19,16,19,19,12,13,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,25 to 29,26,15,17,29,10,19,10,9,17,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,30 to 39,43,36,40,40,46,60,39,32,44,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,40 to 49,38,31,34,42,38,37,41,50,29,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,50 to 59,30,38,43,28,31,40,32,30,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,60 to 69,35,34,23,30,35,32,24,34,29,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,70 to 79,27,31,37,46,49,45,31,29,31,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,80 and over,45,37,45,58,38,50,31,26,42,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Male,All ages,285,271,298,315,298,324,244,246,256,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,Under 16,18,8,12,10,13,7,11,8,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,16,2,1,2,1,1,1,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,17 to 20,7,7,5,6,8,3,4,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,21 to 24,7,5,2,2,7,7,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedestrian,Female,25 to 29,5,6,4,3,6,7,4,8,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
